B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,GEO_ID,NAME
1277,11,0,0,0,0,0,0,0,0,0,0,0,0,12,5,24,0,5,75,8,472,403,125,137,1500000US060014001001,"Block Group 1, Census Tract 4001, Alameda County, California"
1135,7,0,0,0,0,0,0,0,0,0,0,17,0,13,0,43,0,13,46,21,430,316,125,104,1500000US060014001002,"Block Group 2, Census Tract 4001, Alameda County, California"
731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,11,18,281,204,142,58,1500000US060014002001,"Block Group 1, Census Tract 4002, Alameda County, California"
874,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,81,0,8,57,21,264,317,36,72,1500000US060014002002,"Block Group 2, Census Tract 4002, Alameda County, California"
905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,41,3,381,304,90,27,1500000US060014003001,"Block Group 1, Census Tract 4003, Alameda County, California"
1165,0,0,0,0,0,0,0,0,0,0,0,0,0,50,42,0,0,0,142,0,604,222,12,93,1500000US060014003002,"Block Group 2, Census Tract 4003, Alameda County, California"
795,44,0,0,0,0,0,0,0,0,0,0,0,0,13,19,13,0,0,249,57,124,156,81,39,1500000US060014003003,"Block Group 3, Census Tract 4003, Alameda County, California"
1159,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,38,0,20,100,78,573,194,41,100,1500000US060014003004,"Block Group 4, Census Tract 4003, Alameda County, California"
1165,0,0,0,0,0,0,0,0,36,0,0,0,12,0,0,37,0,29,70,42,484,308,69,78,1500000US060014004001,"Block Group 1, Census Tract 4004, Alameda County, California"
727,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,24,58,31,242,191,88,31,1500000US060014004002,"Block Group 2, Census Tract 4004, Alameda County, California"
1265,8,0,0,0,0,0,0,0,0,0,0,4,8,8,23,88,25,69,103,12,422,276,100,119,1500000US060014004003,"Block Group 3, Census Tract 4004, Alameda County, California"
1983,0,0,0,0,0,0,0,0,0,0,10,0,6,0,24,129,10,7,318,71,678,430,218,82,1500000US060014005001,"Block Group 1, Census Tract 4005, Alameda County, California"
604,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,227,0,0,32,5,126,118,47,34,1500000US060014005002,"Block Group 2, Census Tract 4005, Alameda County, California"
431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,20,0,38,28,182,78,40,0,1500000US060014005003,"Block Group 3, Census Tract 4005, Alameda County, California"
839,16,0,0,0,0,0,0,0,0,0,0,0,8,0,0,88,0,87,94,22,300,135,52,37,1500000US060014006001,"Block Group 1, Census Tract 4006, Alameda County, California"
471,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,0,18,52,18,246,87,16,13,1500000US060014006002,"Block Group 2, Census Tract 4006, Alameda County, California"
949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,10,18,136,59,469,188,14,0,1500000US060014007001,"Block Group 1, Census Tract 4007, Alameda County, California"
1250,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,106,0,40,281,42,461,197,79,39,1500000US060014007002,"Block Group 2, Census Tract 4007, Alameda County, California"
792,0,0,0,0,0,74,0,0,82,0,0,0,0,0,0,45,0,18,150,59,228,87,21,28,1500000US060014007003,"Block Group 3, Census Tract 4007, Alameda County, California"
1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,97,25,128,153,49,313,171,20,36,1500000US060014007004,"Block Group 4, Census Tract 4007, Alameda County, California"
1185,30,0,0,0,0,0,0,0,0,0,0,0,0,0,18,132,0,19,116,89,393,268,104,16,1500000US060014008001,"Block Group 1, Census Tract 4008, Alameda County, California"
791,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,219,0,17,239,0,190,80,9,21,1500000US060014008002,"Block Group 2, Census Tract 4008, Alameda County, California"
1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,145,20,6,130,53,522,175,15,52,1500000US060014008003,"Block Group 3, Census Tract 4008, Alameda County, California"
1027,0,0,0,0,7,0,0,0,7,0,13,19,11,0,16,82,50,144,164,49,313,99,31,22,1500000US060014009001,"Block Group 1, Census Tract 4009, Alameda County, California"
1026,0,0,0,0,18,0,0,0,0,15,0,16,0,22,20,177,19,15,188,53,284,166,14,19,1500000US060014009002,"Block Group 2, Census Tract 4009, Alameda County, California"
478,0,0,0,0,0,0,0,0,0,0,0,0,16,0,79,108,0,0,29,32,111,64,30,9,1500000US060014010001,"Block Group 1, Census Tract 4010, Alameda County, California"
