B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,GEO_ID,NAME
644,10,0,52,13,6,7,0,0,9,9,8,60,67,38,35,330,1500000US060014001001,"Block Group 1, Census Tract 4001, Alameda County, California"
630,37,6,0,6,7,0,7,0,8,23,9,7,25,54,47,394,1500000US060014001002,"Block Group 2, Census Tract 4001, Alameda County, California"
417,0,6,0,0,0,4,0,5,7,6,10,21,41,6,68,243,1500000US060014002001,"Block Group 1, Census Tract 4002, Alameda County, California"
413,0,5,0,0,0,0,23,0,0,12,27,37,44,38,54,173,1500000US060014002002,"Block Group 2, Census Tract 4002, Alameda County, California"
423,0,0,0,0,13,0,0,38,0,0,16,29,6,0,71,250,1500000US060014003001,"Block Group 1, Census Tract 4003, Alameda County, California"
775,14,0,42,22,0,0,0,45,0,0,62,155,141,14,68,212,1500000US060014003002,"Block Group 2, Census Tract 4003, Alameda County, California"
590,75,69,0,61,26,130,0,0,0,0,15,38,14,14,7,141,1500000US060014003003,"Block Group 3, Census Tract 4003, Alameda County, California"
631,0,29,0,10,0,0,0,12,0,0,90,41,52,92,74,231,1500000US060014003004,"Block Group 4, Census Tract 4003, Alameda County, California"
706,22,31,36,14,0,0,19,0,39,43,8,90,35,80,69,220,1500000US060014004001,"Block Group 1, Census Tract 4004, Alameda County, California"
443,24,0,28,0,16,20,0,0,21,10,16,85,17,60,8,138,1500000US060014004002,"Block Group 2, Census Tract 4004, Alameda County, California"
591,0,0,11,9,15,0,6,11,21,11,26,25,17,143,67,229,1500000US060014004003,"Block Group 3, Census Tract 4004, Alameda County, California"
1171,44,16,12,20,51,12,26,0,47,257,8,96,123,125,144,190,1500000US060014005001,"Block Group 1, Census Tract 4005, Alameda County, California"
241,16,0,0,0,9,0,0,7,0,0,0,29,42,36,45,57,1500000US060014005002,"Block Group 2, Census Tract 4005, Alameda County, California"
231,24,12,0,6,0,0,0,0,0,32,28,26,10,27,11,55,1500000US060014005003,"Block Group 3, Census Tract 4005, Alameda County, California"
434,22,45,0,0,12,11,3,0,6,15,16,33,59,77,37,98,1500000US060014006001,"Block Group 1, Census Tract 4006, Alameda County, California"
256,0,0,0,0,0,0,0,7,0,0,43,17,26,11,86,66,1500000US060014006002,"Block Group 2, Census Tract 4006, Alameda County, California"
502,0,0,68,0,19,10,9,10,0,35,49,73,94,15,52,68,1500000US060014007001,"Block Group 1, Census Tract 4007, Alameda County, California"
595,27,31,6,30,31,9,0,4,63,66,16,26,90,78,44,74,1500000US060014007002,"Block Group 2, Census Tract 4007, Alameda County, California"
334,17,6,0,0,14,22,8,46,8,8,12,68,44,26,25,30,1500000US060014007003,"Block Group 3, Census Tract 4007, Alameda County, California"
511,33,0,0,39,0,0,8,0,43,0,28,82,76,78,17,107,1500000US060014007004,"Block Group 4, Census Tract 4007, Alameda County, California"
758,119,105,14,18,0,63,16,0,0,41,60,64,53,16,78,111,1500000US060014008001,"Block Group 1, Census Tract 4008, Alameda County, California"
414,4,20,8,9,5,58,0,0,0,30,57,52,13,99,0,59,1500000US060014008002,"Block Group 2, Census Tract 4008, Alameda County, California"
578,18,0,13,0,0,67,0,17,9,10,66,43,72,42,37,184,1500000US060014008003,"Block Group 3, Census Tract 4008, Alameda County, California"
601,16,25,41,0,53,39,0,20,38,60,88,33,41,24,49,74,1500000US060014009001,"Block Group 1, Census Tract 4009, Alameda County, California"
493,7,15,0,0,7,18,0,0,0,50,46,84,98,22,39,107,1500000US060014009002,"Block Group 2, Census Tract 4009, Alameda County, California"
263,39,16,0,0,16,15,0,0,0,0,32,50,0,29,59,7,1500000US060014010001,"Block Group 1, Census Tract 4010, Alameda County, California"
471,7,0,13,0,25,0,0,24,0,10,0,26,181,18,115,52,1500000US060014010002,"Block Group 2, Census Tract 4010, Alameda County, California"
494,0,0,29,0,0,16,0,78,0,0,39,77,53,79,30,93,1500000US060014010003,"Block Group 3, Census Tract 4010, Alameda County, California"
272,0,0,41,0,0,0,31,12,0,0,0,113,21,8,25,21,1500000US060014010004,"Block Group 4, Census Tract 4010, Alameda County, California"
398,54,15,20,0,0,12,0,13,0,0,100,58,9,24,46,47,1500000US060014010005,"Block Group 5, Census Tract 4010, Alameda County, California"
329,0,28,0,29,0,0,0,0,0,0,0,50,32,60,9,121,1500000US060014010006,"Block Group 6, Census Tract 4010, Alameda County, California"
349,0,0,13,0,0,0,0,0,0,5,208,12,36,12,0,63,1500000US060014011001,"Block Group 1, Census Tract 4011, Alameda County, California"
788,0,0,0,47,64,0,0,19,41,40,40,213,168,16,17,123,1500000US060014011002,"Block Group 2, Census Tract 4011, Alameda County, California"
366,43,0,14,0,16,0,0,0,0,27,0,38,5,73,65,85,1500000US060014011003,"Block Group 3, Census Tract 4011, Alameda County, California"
678,57,16,101,0,0,0,33,65,47,26,63,48,44,16,51,111,1500000US060014011004,"Block Group 4, Census Tract 4011, Alameda County, California"
527,10,17,6,0,24,14,8,25,11,18,16,74,35,46,64,159,1500000US060014012001,"Block Group 1, Census Tract 4012, Alameda County, California"
335,6,12,6,0,12,0,6,0,0,19,51,28,44,19,16,116,1500000US060014012002,"Block Group 2, Census Tract 4012, Alameda County, California"
376,2,28,0,0,15,46,7,0,0,47,57,68,25,14,31,36,1500000US060014012003,"Block Group 3, Census Tract 4012, Alameda County, California"
427,11,14,16,10,8,73,0,8,8,35,6,75,23,42,82,16,1500000US060014013001,"Block Group 1, Census Tract 4013, Alameda County, California"
738,71,95,9,78,35,48,5,37,33,9,15,100,97,40,40,26,1500000US060014013002,"Block Group 2, Census Tract 4013, Alameda County, California"
666,17,0,16,0,49,23,26,20,8,16,69,85,100,34,74,129,1500000US060014013003,"Block Group 3, Census Tract 4013, Alameda County, California"
529,80,37,19,39,28,0,15,17,28,42,18,65,37,32,20,52,1500000US060014014001,"Block Group 1, Census Tract 4014, Alameda County, California"
827,65,43,7,33,22,37,0,53,31,47,31,89,251,20,34,64,1500000US060014014002,"Block Group 2, Census Tract 4014, Alameda County, California"
261,0,17,9,13,39,26,0,0,0,23,16,67,0,8,2,41,1500000US060014014003,"Block Group 3, Census Tract 4014, Alameda County, California"
514,99,155,34,11,15,16,10,0,1,0,63,8,12,19,21,50,1500000US060014015001,"Block Group 1, Census Tract 4015, Alameda County, California"
315,5,10,6,12,8,0,0,9,0,9,31,43,43,71,31,37,1500000US060014015002,"Block Group 2, Census Tract 4015, Alameda County, California"
252,0,9,0,27,0,0,0,9,7,18,20,72,16,16,26,32,1500000US060014015003,"Block Group 3, Census Tract 4015, Alameda County, California"
446,40,38,7,15,15,20,0,36,0,40,51,12,45,11,47,69,1500000US060014016001,"Block Group 1, Census Tract 4016, Alameda County, California"
395,18,29,30,9,5,46,37,15,27,0,63,42,4,10,39,21,1500000US060014016002,"Block Group 2, Census Tract 4016, Alameda County, California"
508,18,25,18,0,0,0,0,0,27,24,56,32,90,58,68,92,1500000US060014017001,"Block Group 1, Census Tract 4017, Alameda County, California"
327,18,0,16,0,25,0,8,23,0,21,0,27,42,43,29,75,1500000US060014017002,"Block Group 2, Census Tract 4017, Alameda County, California"
406,21,0,18,0,0,0,0,0,0,16,20,9,80,75,74,93,1500000US060014017003,"Block Group 3, Census Tract 4017, Alameda County, California"
313,0,0,6,9,18,0,19,0,0,12,58,48,73,16,24,30,1500000US060014018001,"Block Group 1, Census Tract 4018, Alameda County, California"
302,10,26,6,13,15,9,9,5,0,37,61,22,0,37,12,40,1500000US060014018002,"Block Group 2, Census Tract 4018, Alameda County, California"
444,42,40,23,0,7,11,0,0,0,35,41,22,53,78,46,46,1500000US060014022001,"Block Group 1, Census Tract 4022, Alameda County, California"
263,18,26,0,0,0,7,10,19,38,11,5,49,46,0,9,25,1500000US060014022002,"Block Group 2, Census Tract 4022, Alameda County, California"
147,0,6,0,0,21,13,0,0,0,5,8,0,0,14,46,34,1500000US060014022003,"Block Group 3, Census Tract 4022, Alameda County, California"
452,28,75,27,21,0,52,8,44,10,14,23,18,24,0,23,85,1500000US060014024001,"Block Group 1, Census Tract 4024, Alameda County, California"
733,75,195,41,116,59,12,27,52,0,26,30,0,7,46,9,38,1500000US060014024002,"Block Group 2, Census Tract 4024, Alameda County, California"
457,67,35,31,17,1,31,12,13,11,42,50,79,0,23,36,9,1500000US060014025001,"Block Group 1, Census Tract 4025, Alameda County, California"
272,72,63,11,35,14,22,0,0,0,23,14,18,0,0,0,0,1500000US060014025002,"Block Group 2, Census Tract 4025, Alameda County, California"
598,63,127,34,28,37,11,15,43,26,53,34,23,20,25,47,12,1500000US060014026001,"Block Group 1, Census Tract 4026, Alameda County, California"
323,90,21,13,0,0,11,11,22,0,20,26,42,4,10,35,18,1500000US060014027001,"Block Group 1, Census Tract 4027, Alameda County, California"
384,16,0,0,0,24,6,0,4,5,33,0,47,59,19,75,96,1500000US060014027002,"Block Group 2, Census Tract 4027, Alameda County, California"
320,10,29,0,26,14,0,0,0,12,12,0,0,10,33,28,146,1500000US060014028011,"Block Group 1, Census Tract 4028.01, Alameda County, California"
514,33,144,29,17,173,55,0,19,0,0,0,0,0,0,32,12,1500000US060014028012,"Block Group 2, Census Tract 4028.01, Alameda County, California"
851,0,70,0,0,13,19,0,0,28,70,71,67,9,51,214,239,1500000US060014028013,"Block Group 3, Census Tract 4028.01, Alameda County, California"
222,33,175,0,0,0,0,0,0,0,0,0,0,8,0,6,0,1500000US060014028021,"Block Group 1, Census Tract 4028.02, Alameda County, California"
523,145,63,63,0,0,32,19,0,17,26,25,70,0,0,23,40,1500000US060014028022,"Block Group 2, Census Tract 4028.02, Alameda County, California"
493,94,63,67,24,11,54,24,0,0,28,25,35,25,15,6,22,1500000US060014029001,"Block Group 1, Census Tract 4029, Alameda County, California"
438,29,74,40,37,15,28,21,7,14,19,35,46,4,27,28,14,1500000US060014029002,"Block Group 2, Census Tract 4029, Alameda County, California"
629,92,53,18,0,49,15,8,31,26,14,35,111,52,30,30,65,1500000US060014030001,"Block Group 1, Census Tract 4030, Alameda County, California"
413,35,93,109,37,19,11,37,0,0,11,13,0,15,6,21,6,1500000US060014030002,"Block Group 2, Census Tract 4030, Alameda County, California"
457,77,53,68,16,27,54,0,0,0,21,34,8,52,8,0,39,1500000US060014030003,"Block Group 3, Census Tract 4030, Alameda County, California"
452,5,12,0,4,0,6,0,0,7,0,43,25,114,12,75,149,1500000US060014031001,"Block Group 1, Census Tract 4031, Alameda County, California"
438,28,82,33,20,0,19,9,0,0,15,11,18,30,58,50,65,1500000US060014031002,"Block Group 2, Census Tract 4031, Alameda County, California"
341,15,76,85,34,0,66,0,0,0,14,19,0,23,0,9,0,1500000US060014033011,"Block Group 1, Census Tract 4033.01, Alameda County, California"
